	ASCL1neg_corr	ASCL1neg_pval	ASCL1neg_qval	ASCL1neg_ci_low	ASCL1neg_ci_high	ASCL1pos_corr	ASCL1pos_pval	ASCL1pos_qval	ASCL1pos_ci_low	ASCL1pos_ci_high
KIF7	-0.022209909171861695	4.634354426269753e-07	5.533557523904182e-07	-0.03084074713943922	-0.013575759408105813	0.0222063389426612	4.6540263412747083e-07	5.557046377641442e-07	0.013572188075345833	0.030837178545642094
EBAG9	-0.022231694224094576	4.516045545893494e-07	5.3955143917485e-07	-0.030862522207895954	-0.013597551198881395	0.022231313357636916	4.5180886834588314e-07	5.397955416318795e-07	0.01359717021454385	0.03086214151605428
GSN	-0.022512787601116538	3.22791215857066e-07	3.8680792792937805e-07	-0.031143486029037146	-0.013878732259260966	0.02251901460714485	3.203845808060765e-07	3.8392400336258413e-07	0.013884961223181606	0.03114971014959735
DNAJC22	-0.022780730475514765	2.3351316631065873e-07	2.8066486335415717e-07	-0.03141130413889814	-0.014146759986093948	0.02278092547034489	2.3345784705033578e-07	2.8059837385857667e-07	0.014146955043127055	0.03141149904247987
CDH7	-0.022836484952055185	2.1820099837696942e-07	2.624185187937095e-07	-0.03146703249823458	-0.014202532274973959	0.02283773811022615	2.1786823953785657e-07	2.6201832776651424e-07	0.01420378583411896	0.031468285068769045
CAD	-0.022993355870739658	1.8014441013966174e-07	2.16910788849683e-07	-0.03162382964561152	-0.014359453598722519	0.02299270977886977	1.8028712136989936e-07	2.1708262657423162e-07	0.014358807298381068	0.03162318385844887
TSR3	-0.02304170741049467	1.697686851228385e-07	2.045405844853476e-07	-0.03167215836156125	-0.014407820760324257	0.023040457147946735	1.7002954933653434e-07	2.0485487871871608e-07	0.014406570093321469	0.03167090868969408
IFT27	-0.023496134067406135	9.665877762442666e-08	1.1680819048269083e-07	-0.03212636853947786	-0.014862396211780739	0.02349646234604085	9.661909469903145e-08	1.167602352858386e-07	0.014862724599194934	0.03212669666043928
MAPKAPK5-AS1	-0.02362008972085874	8.274403058473612e-08	1.000532413358357e-07	-0.0322502645243678	-0.014986393072006613	0.023621289440046135	8.261933348449044e-08	9.990245886879135e-08	0.014987593191316064	0.03225146366475015
C3orf33	-0.02393168097253826	5.579189779400399e-08	6.754467045278934e-08	-0.03256170461398165	-0.0152980890792055	0.023930059543258983	5.590714327226421e-08	6.768419282356442e-08	0.015296467100466154	0.0325600839756431
ZNF771	-0.024480759122875576	2.7529638173143966e-08	3.3409755064495104e-08	-0.03311051231171575	-0.015847355910792716	0.024478623256390497	2.7606194675460125e-08	3.350266344109239e-08	0.01584521930025889	0.033108377507350205
PCGF2	-0.024663337639994305	2.1693897801319303e-08	2.6375559636862374e-08	-0.03329299974547742	-0.016029998322255712	0.024662380274340714	2.1721109379898027e-08	2.6408643622976325e-08	0.016029040620064227	0.03329204285892768
C20orf96	-0.024761512991158027	1.9072311453753674e-08	2.3230586423573296e-08	-0.033391125881795894	-0.016128208268607145	0.024762298531761977	1.9052629825478764e-08	2.320661367293394e-08	0.01612899408669293	0.03339191102794109
CBY1	-0.024875229471654037	1.6419193510141496e-08	2.001120476555941e-08	-0.03350478514879236	-0.016241965028924714	0.0248754993197388	1.6413345788863066e-08	2.000407774389161e-08	0.016242234972858906	0.03350505486084458
ZBTB33	-0.0252307031414177	1.0237239293558069e-08	1.2514962461562432e-08	-0.033860078531752845	-0.016597566053279743	0.025231396045969523	1.02277531229184e-08	1.2503365675939366e-08	0.016598259208209294	0.03386077108275197
DDRGK1	-0.025281502428141252	9.563958288621463e-09	1.1699031545714328e-08	-0.033910851876308226	-0.01664838371807789	0.025280805342313122	9.572899162370917e-09	1.1709968394337514e-08	0.016647686379757495	0.03391015514676914
FAIM	-0.02539996283660907	8.15682936063603e-09	9.989993093246821e-09	-0.03402925161639616	-0.016766887156211795	0.025400756723391413	8.148114924680138e-09	9.979320177195515e-09	0.016767681332184446	0.03403004509577981
NTN1	-0.025426742076477164	7.867820012318854e-09	9.641936289606438e-09	-0.034056017107962085	-0.016793676157006672	0.02542879897268511	7.846037854380036e-09	9.615242468602987e-09	0.016795733803457703	0.03405807294765988
HMOX2	-0.02547630110537202	7.359003483536361e-09	9.023915982264085e-09	-0.03410555066089578	-0.016843253282665227	0.025477369296775184	7.34839665485581e-09	9.010909448014481e-09	0.01684432186459196	0.034106618302725364
ARMT1	-0.025511954611317434	7.012894570891296e-09	8.610060860517245e-09	-0.034141185812833784	-0.01687891983394778	0.025511661346371266	7.015675819389861e-09	8.613475530251517e-09	0.016878626461608662	0.034140892698946476
DNAJC10	-0.025525755150004808	6.883219376646905e-09	8.456043460254184e-09	-0.03415497924127524	-0.016892725428041586	0.025529097945712467	6.852161740329689e-09	8.41788911588414e-09	0.01689606944877573	0.034158320314229496
SPICE1	-0.025573566158820643	6.451753910998668e-09	7.930859140748209e-09	-0.03420276559171473	-0.016940553976418592	0.02557398553541207	6.448088225140395e-09	7.926353073313331e-09	0.016940973507033927	0.03420318475183944
DHRS7B	-0.025729443290965538	5.220017824124264e-09	6.420686130534151e-09	-0.03435856205670509	-0.017096488566772556	0.02572841353042697	5.2273495303592465e-09	6.429704219384067e-09	0.017095458425273723	0.03435753283044864
IFT80	-0.025754055847504065	5.0477283673490415e-09	6.212588759814205e-09	-0.0343831618377902	-0.017121110234188983	0.025754770991746796	5.042805950653456e-09	6.206530400804254e-09	0.01712182564331458	0.0343838766106721
FLYWCH2	-0.02603369155713811	3.4400153440516847e-09	4.24169586196262e-09	-0.03466265166477603	-0.01740085019235818	0.026030870805230855	3.453415249302726e-09	4.258218556476851e-09	0.017398028382123325	0.03465983239116051
